num_nodes,num_edges,ratio_n_m,ratio_m_n,density,min_degree,max_degree,mean_degree,median_degree,q0.25_degree,q0.75_degree,variation_coefficient_degree,entropy_degree,best_alg
3231,6094,0.5301936330817197,1.8861033735685544,0.0011678658659867,2,4,3.772206747137109,4.0,4.0,4.0,0.1119636335400312,0.7830434852513359,astar_alg
1129,53906,0.0209438652469112,47.7466784765279,0.0846572313413615,65,122,95.4933569530558,96.0,89.0,102.0,0.0964665343096804,5.217304106976528,dfs_alg
4100,1254237,0.0032689196698869,305.91146341463417,0.1492615093508827,538,694,611.8229268292683,611.0,597.0,627.0,0.0365657725439926,6.499606030944923,dfs_alg
4277,12831,0.3333333333333333,3.0,0.0014031805425631,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
4712,9286,0.5074305405987508,1.9707130730050928,0.00083664320654,2,4,3.941426146010187,4.0,4.0,4.0,0.0604890144379771,0.3247301288098659,dfs_alg
1310,17946,0.0729967680820238,13.699236641221374,0.0209308428437301,11,43,27.398473282442747,27.0,24.0,31.0,0.1913061332397345,4.421547121848954,astar_alg
4332,8531,0.5077951002227171,1.969298245614035,0.0009093965576606,2,4,3.93859649122807,4.0,4.0,4.0,0.0619217762782086,0.3362409200242113,astar_alg
2922,8766,0.3333333333333333,3.0,0.0020540910647038,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,astar_alg
1286,1927,0.6673585884795018,1.4984447900466562,0.0023322097899558,2,3,2.9968895800933124,3.0,3.0,3.0,0.0185807096937915,0.0303860775882691,dfs_alg
2748,8225,0.3341033434650456,2.9930858806404657,0.0021791670044706,3,12,5.986171761280931,6.0,5.0,7.0,0.2317216466317386,2.48295229617048,astar_alg
454,1344,0.337797619047619,2.960352422907489,0.0130699886221081,3,11,5.920704845814978,6.0,5.0,7.0,0.2146316239170285,2.3726595246140016,astar_alg
4848,9547,0.5078034984811983,1.9692656765676568,0.0008125709414349,2,4,3.9385313531353137,4.0,4.0,4.0,0.0618501833066986,0.33629179868943,astar_alg
3436,13744,0.25,4.0,0.0023289665211062,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,astar_alg
5024,15049,0.3338427802511794,2.995421974522293,0.0011926824505364,3,14,5.990843949044586,6.0,5.0,7.0,0.2339572389617365,2.4960978663793627,astar_alg
3070,304746,0.0100739632349563,99.2657980456026,0.0646893437899006,142,244,198.5315960912052,198.0,189.0,208.0,0.0686743608211574,5.793193503541697,astar_alg
1039,3099,0.3352694417554049,2.982675649663137,0.0057469665696784,3,12,5.965351299326275,6.0,5.0,7.0,0.2351671150309167,2.490190896270192,astar_alg
3721,14884,0.25,4.0,0.0021505376344086,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,astar_alg
2850,5593,0.5095655283389952,1.962456140350877,0.0013776455881719,2,4,3.924912280701754,4.0,4.0,4.0,0.0684870909756009,0.3895497989539588,astar_alg
2849,8528,0.3340759849906191,2.9933309933309933,0.0021020582818335,3,12,5.986661986661987,6.0,5.0,7.0,0.2307641809925461,2.476023404677827,dfs_alg
2498,4996,0.5,2.0,0.0016019223067681,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,astar_alg
2152,4027,0.5343928482741495,1.871282527881041,0.0017399186684156,2,4,3.742565055762082,4.0,3.0,4.0,0.1179543345563676,0.8358721173609953,dfs_alg
3323,3322,1.0003010234798315,0.9996990671080348,0.0006018657839301,1,2,1.9993981342160696,2.0,2.0,2.0,0.0122664759547316,0.007306970434585,astar_alg
4795,1326183,0.0036156397721883,276.5762252346194,0.1153843242530744,482,632,553.1524504692388,553.0,539.0,568.0,0.039798193857345,6.486955865275522,dfs_alg
3794,11359,0.3340082753763535,2.9939377965208225,0.001578664801751,3,13,5.987875593041645,6.0,5.0,7.0,0.2241947325070107,2.445228296574628,dfs_alg
