graph_type,num_nodes,num_edges,nodes,edges,ratio_n_m,ratio_m_n,density,starting_node,target_node,path_length,min_degree,max_degree,mean_degree,median_degree,q0.25_degree,q0.75_degree,variation_coefficient_degree,entropy_degree,astar_alg_avg_duration,astar_alg_median_duration,astar_alg_std_duration,astar_alg_avg_memory_used,astar_alg_median_memory_used,astar_alg_std_memory_used,dijkstra_alg_avg_duration,dijkstra_alg_median_duration,dijkstra_alg_std_duration,dijkstra_alg_avg_memory_used,dijkstra_alg_median_memory_used,dijkstra_alg_std_memory_used,bfs_alg_avg_duration,bfs_alg_median_duration,bfs_alg_std_duration,bfs_alg_avg_memory_used,bfs_alg_median_memory_used,bfs_alg_std_memory_used,dfs_alg_avg_duration,dfs_alg_median_duration,dfs_alg_std_duration,dfs_alg_avg_memory_used,dfs_alg_median_memory_used,dfs_alg_std_memory_used
generate_delaunay_graph,3000,8977,3000,8977,0.3341873677175003,2.9923333333333333,0.001995554073580082,2738,2000,17,3,12,5.984666666666667,6.0,5.0,7.0,0.22815671553118003,2.4603790309497513,3.365831066669974,3.3736748000083026,0.01169451737062726,219405.66666666666,268379,69791.17173078237,6.514043766665661,6.498020599989104,0.023772373074079173,24335505.333333332,325319,33956509.78819106,2.0585526333306916,2.0539179000043077,0.02375224106619951,24170684.666666668,77323,34073187.1164352,5.936141333329336,5.934133499991731,0.005503352992509341,24259435.666666668,266107,34036843.58917203
generate_delaunay_graph,3001,8980,3001,8980,0.3341870824053452,2.9923358880373208,0.0019948905920248805,1370,205,16,3,12,5.9846717760746415,6.0,5.0,7.0,0.22807772102540122,2.4597266487948897,7.907360266666122,7.89260110000032,0.03630948649969104,25615745.666666668,315723,35884428.451893814,6.442513133331279,6.461733999996795,0.0655107854861094,24337854.333333332,328271,34059678.230911985,5.694668500005112,5.697241400004714,0.04861580408734963,24259389.666666668,249723,34059745.11797046,3.222481266668183,3.229134299996076,0.017046595389100517,24262369.666666668,265676,34042124.0847529
generate_dense_random_graph,3002,130568,3002,130568,0.0229918509895227,43.49367088607595,0.028986118551200233,835,1767,2,57,122,86.9873417721519,87.0,81.0,93.0,0.1042220745326523,5.211124738055413,4.032479333332351,4.0272510000068,0.020794558312100312,40252308.333333336,1247459,55266901.957259044,6.612761700002011,6.634021899997606,0.042843922457577274,25906060.0,1247423,34978268.14236789,3.766156066665038,3.7673284000047715,0.033221587406203214,25285194.0,315635,35417433.9957717,5.809414366662774,5.812927099992521,0.012809983322822897,25283458.666666668,311859,35418355.081138894
generate_random_graph,3003,797858,3003,797858,0.0037638276485289363,265.68697968697967,0.17700664869219165,499,676,2,461,605,531.3739593739593,531.0,517.0,545.0,0.03987005938876991,6.417032591762802,2.406570133335966,2.387171700000181,0.034625954500521895,141212014.33333334,1683851,197428062.75252056,8.793522733336431,8.804303600001731,0.01917919834397636,67073741.333333336,1641263,92590329.92085032,1.3058663000022837,1.3059126000007382,0.003242024159965779,66130320.666666664,187187,93257702.26105453,4.079150033333765,4.0747568999940995,0.008328648659174586,66169166.666666664,303211,93229811.6354617
generate_dense_random_graph,3004,456103,3004,456103,0.0065862316187352415,151.83189081225032,0.10112014040109912,1783,149,2,248,374,303.66378162450064,303.0,292.0,314.0,0.05514838815897854,6.078012603068037,1.5570690333261155,1.553055599986692,0.009954479344127722,84901241.66666667,1512259,118035074.6777706,7.696139099998011,7.708148899997468,0.03444024324604782,38755614.666666664,1577071,52683319.21834635,6.027140299998185,6.022497199999634,0.01877337026118308,37919452.666666664,318699,53274719.51157522,2.626648100000845,2.6218497999943793,0.009413981119445773,37920733.333333336,322835,53273511.668770924
generate_delaunay_graph,3005,8992,3005,8992,0.3341859430604982,2.9923460898502494,0.001992241071804427,2115,2951,10,3,12,5.984692179700499,6.0,5.0,7.0,0.22796587435108245,2.459205477566612,9.593904733327994,9.610287599993171,0.035883540937573725,25742114.333333332,326891,35942559.18559554,6.275304766667735,6.283243600002606,0.014277396276235107,24399913.666666668,327087,34149162.97061987,5.893687600007979,5.900501100011752,0.05292171605277155,24365672.666666668,249603,34105425.52891314,2.589579966661404,2.593238899993594,0.017527695722029668,24281740.0,123819,34164487.80121295
generate_dense_random_graph,3006,68300,3006,68300,0.044011713030746705,22.721224218230205,0.015122279013797143,2583,59,2,22,74,45.44244843646041,45.0,41.0,50.0,0.1497851458146928,4.80292506599196,3.1564700333353053,3.157058600001619,0.013037154210139255,32974712.0,1057675,45242493.128896266,6.27054750000146,6.262142699997639,0.020572970600708052,25348276.0,1061927,34451038.077304736,1.9932596666670481,1.997518999996828,0.009030412073546979,24844647.333333332,299771,34808173.9177621,4.002930766665183,3.9978237000032095,0.007329870566378381,24845650.666666668,303451,34807162.995917186
generate_random_graph,3007,745685,3007,745685,0.004032533844719955,247.98303957432657,0.16499204229828782,2720,790,2,425,565,495.96607914865314,496.0,483.0,510.0,0.04146743803074806,6.377653065402633,2.266546033337363,2.2714619000034872,0.022402056889240563,133220246.66666667,1543931,186218465.40024737,8.634468566665115,8.632362200005446,0.022461410485824663,62829509.333333336,1706407,86442387.43256621,2.7594930333289085,2.7588859999959823,0.002235401538387008,61816600.666666664,186067,87158770.50881934,1.2012104666646337,1.202684500007308,0.002667775506052397,61862945.333333336,325667,87125714.51388583
generate_dense_random_graph,3008,571391,3008,571391,0.0052643461307580975,189.95711436170214,0.12634327526551523,2082,2931,2,326,443,379.9142287234043,380.0,368.0,392.0,0.04803303161469232,6.208893103907107,0.3217236999965583,0.3209039999928791,0.0022603199101237596,112308303.66666667,1047195,157347002.78219342,8.03752763333614,8.046892900005332,0.020969820915288748,48420929.333333336,1631007,66171293.47145706,3.7897409333333294,3.7791723999980604,0.022328266767250658,47404892.666666664,180987,66784784.02857298,3.134093666667468,3.140463899995666,0.015137582251124956,47454597.333333336,181403,66854426.504027314
generate_2d_grid_graph,3009,5908,3009,5908,0.5093094109681787,1.963443004320372,0.0013054807209576943,212,1688,26,2,4,3.926886008640744,4.0,4.0,4.0,0.06758049691542393,0.3820987866330051,2.0989790666644694,2.1076197999936994,0.01584222178834309,26085173.0,92443,36759282.6028111,6.091362299999067,6.102228599993396,0.023932389058514077,24468835.666666668,330487,34241751.31194253,1.7267715333388576,1.726578600006178,0.0005806174281266659,24289704.666666668,76275,34242983.25358654,5.949275966670636,5.955831500003114,0.012031010764913364,24433406.333333332,283763,34245233.370623104
generate_2d_grid_graph,3010,5907,3010,5907,0.5095649229727442,1.9624584717607974,0.0013043924704292439,925,1381,42,2,4,3.9249169435215947,4.0,4.0,4.0,0.06841438012954187,0.3893798071678174,5.731942900000528,5.749043000003439,0.024914847797865815,26208694.666666668,298883,36746974.65906859,6.099666400002509,6.089612700001453,0.027794247915127756,24486454.666666668,332303,34264100.093922056,3.9105404666721975,3.911690600012662,0.010773385536172396,24378042.333333332,259412,34214607.93590228,4.757547033334656,4.740244300002814,0.025023044726619613,24406301.333333332,301499,34194338.01986896
generate_dense_random_graph,3011,688007,3011,688007,0.004376408960955339,228.49784124875455,0.15182580813870736,1729,833,1,386,527,456.9956824975091,457.0,444.0,470.0,0.04342921705071651,6.321364861163425,7.120097733330719,7.1160918999958085,0.018961121159554187,131819452.33333333,1653115,184179151.8807816,8.423274433332457,8.425872899999376,0.0447124605278521,58084512.0,1665775,79788267.48818658,0.25231470000289846,0.2521073000098113,0.0008347063480274422,57047566.0,184499,80416554.49065787,5.871877899999769,5.880748200012022,0.014991456487463532,57125169.333333336,268827,80466731.57370639
generate_dense_random_graph,3012,286486,3012,286486,0.010513602758948082,95.1148738379814,0.06317826226368742,1873,1587,2,147,233,190.2297476759628,190.0,181.0,199.0,0.07000780137395267,5.756420865208006,3.9978365000085128,3.9914170000120066,0.02396152305685046,59674177.0,1477115,82408127.4941678,7.100766466668574,7.094375300002866,0.029540789317301887,27516524.0,1477255,36825692.65914412,0.6304709666680234,0.6295969000057084,0.002675043689012758,26647474.0,173171,37440352.298105344,0.9906368999994205,0.9905922000034479,0.0014253411558495376,26695872.0,318179,37405872.16691257
generate_random_graph,3013,293359,3013,293359,0.01027069222352135,97.3644208430136,0.06465100985591873,2348,1567,1,138,245,194.7288416860272,195.0,186.0,203.0,0.06899777057318196,5.769147283544014,6.875411333331916,6.868318900000304,0.02668700375310938,57275325.0,1429155,79067840.11052738,7.097249100004167,7.0854984000034165,0.04369556056159075,27518618.666666668,1444079,36974980.60417648,0.19655000000299575,0.19662470000912435,0.0003241139613995299,26718555.333333332,173123,37540944.36598789,5.908086900002672,5.879854800004978,0.05683019702921456,26777030.666666668,302515,37499177.130280465
generate_random_graph,3014,849129,3014,849129,0.003549519566520517,281.7282680822827,0.18700847532843193,1665,1827,2,497,635,563.4565361645654,563.0,549.0,577.0,0.03810650121886536,6.4355095113620635,1.5973411666685327,1.5972910999989836,0.0031476301193446186,148982488.33333334,1536675,208519902.87225813,8.936135899998286,8.938252499996452,0.010087438834985172,71392196.0,1727623,98528062.40945067,3.7390579666680424,3.7421953000011854,0.012659066496441308,70370322.0,189443,99250784.84219258,1.6345373666699743,1.634625499995309,0.005596206328108283,70420053.33333333,189819,99320583.82396802
generate_2d_grid_graph,3015,5918,3015,5918,0.509462656302805,1.9628524046434495,0.0013024899831741536,1269,277,68,2,4,3.925704809286899,4.0,4.0,4.0,0.06807992720045951,0.3864717304775953,7.410406633333575,7.413789900005213,0.027903553666228268,26302686.0,328203,36838444.93624868,6.070295366667172,6.057181399999536,0.03782900493767219,24566019.666666668,331791,34377345.89697288,5.319946833328383,5.31409819998953,0.01607916052980254,24513717.666666668,279411,34377439.21766015,2.940502433334283,2.9441878000070574,0.008953062303703855,24485769.333333332,300171,34308759.193364486
generate_random_regular_graph,3016,9048,3016,9048,0.3333333333333333,3.0,0.001990049751243781,1246,1624,6,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,7.187109533333569,7.17469909999636,0.027560016331160772,25966965.0,456236,36077738.43893662,6.1230660333336955,6.141286500002025,0.0276771512881948,24700633.333333332,455983,34299032.29142119,5.6901164000009885,5.691793300007703,0.010077515051967325,24520207.333333332,287939,34371906.520559415,3.5815571333369007,3.5833809999894584,0.012785817338273917,24496462.333333332,147355,34434860.44989766
generate_dense_random_graph,3017,459235,3017,459235,0.0065696212178949775,152.21577726218098,0.10093884433831629,2976,1829,2,234,356,304.43155452436196,304.0,293.0,315.0,0.05439433820634537,6.057261653766902,3.679972566664219,3.689961099997163,0.02553043142348374,85471723.66666667,1588747,118733676.28325625,7.9440696999954525,7.993275000000722,0.11708253027696669,39012779.0,1560048,53051109.84736872,2.310313333335216,2.3102533999917796,0.013182160472046822,38181339.333333336,178563,53744075.63956034,0.634707066671884,0.6353593999956502,0.001796664864533577,38132038.666666664,179019,53673709.08674188
generate_random_regular_graph,3018,6036,3018,6036,0.5,2.0,0.001325820351342393,2483,51,6,4,4,4.0,4.0,4.0,4.0,0.0,-0.0,2.2013126666667326,2.2003018999967026,0.003839205724097964,25444407.333333332,186715,35719782.36575604,6.134924900000139,6.139824600002612,0.010977564305221833,24653273.0,358615,34449901.51300759,3.857822000005399,3.861729700001888,0.00840827520920092,24517883.0,136451,34480574.43189685,4.10716896666175,4.097538599991822,0.01571606382118845,24573081.0,289691,34445902.11544013
generate_2d_grid_graph,3019,3018,3019,3018,1.0003313452617628,0.9996687644915535,0.000662471016893011,2293,824,1469,1,2,1.999337528983107,2.0,2.0,2.0,0.012869255457878363,0.007951024912233687,4.415046900001471,4.412213400006294,0.018777982567133807,25911096.0,332384,36278763.638160475,6.053829133331116,6.054821399986395,0.012613418128268964,24635883.666666668,358199,34438801.86630564,4.4190581333386945,4.409144600009313,0.034953830800561116,24500544.333333332,272275,34368946.453048825,4.4011416666665655,4.407261799991829,0.009417850184202449,24499121.0,270987,34368755.0631108
generate_random_regular_graph,3020,12080,3020,12080,0.25,4.0,0.002649884067572044,605,1752,4,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,0.4299900666665053,0.42811649999930523,0.003320492224625486,26074208.333333332,276800,36588029.544285,6.126905833337029,6.124599900009343,0.003343655828804968,24802390.333333332,536655,34421342.388015665,0.7898946333346734,0.7897423999966122,0.0010488984226333978,24595092.666666668,269347,34507002.44538317,4.677946400004051,4.678930500012939,0.006732433014210492,24603008.0,263771,34501079.04927245
